neighborhood,bhk,area_sqft,price_inr,age_years,amenities,listed_on
Navi Mumbai,2,1090.0,4202486.0,17,"Security, Pool, Garden",22-Feb-24
Thane,2,926.0,13702019.0,38,"Security, Parking",2025-03-25
Goregaon,2,1361.0,16343366.0,19,"Parking, Gym, Garden",23-Jul-24
Juhu,2,250.0,6608132.0,17,Garden,"May 05, 2024"
Bandra,1,,11953522.0,10,"Garden, Gym",22/08/2024
Worli,2,1459.0,6401362.0,21,"Security, Garden",12-Feb-24
Powai,2,1097.0,14754203.0,17,"Parking, Pool, Gym",2024-08-27
Bandra,2,,7180138.0,33,"Parking, Gym","April 03, 2025"
Dadar,2,472.0,17424400.0,22,"Gym, Garden, Parking",2025-01-05
Andheri,3,1275.0,3660261.0,0,"Garden, Parking, Security, Pool","April 20, 2024"
Andheri,1,1254.0,5938781.0,9,"Pool, Parking, Gym, Security",05/09/2024
Powai,2,311.0,5580061.0,0,"Parking, Gym, Security, Pool","May 30, 2024"
Borivali,1,796.0,12261959.0,37,"Pool, Security, Gym","July 01, 2024"
Borivali,1,862.0,15143074.0,38,"Gym, Parking",01/12/2024
Goregaon,3,333.0,12843937.0,8,"Garden, Gym",04/04/2024
Juhu,3,803.0,7997296.0,30,"Garden, Security, Gym, Parking","April 03, 2025"
Thane,4,1205.0,2028785.0,6,"Security, Pool",2025-01-08
Dadar,3,,11108503.0,16,Garden,03-Feb-25
Bandra,5,,17414773.0,34,Security,2024-01-08
Borivali,1,987.0,54206171.0,36,"Pool, Garden, Parking, Security",22-Jan-25
Goregaon,1,895.0,8413624.0,17,Pool,25/12/2024
Goregaon,1,653.0,7281232.0,32,Parking,2025-01-22
Powai,2,1130.0,13152901.0,3,"Gym, Parking, Security, Pool",02/07/2024
Dadar,2,344.0,9307257.0,22,Pool,"October 07, 2024"
Navi Mumbai,3,903.0,23329379.0,10,"Security, Pool, Parking","July 13, 2024"
Thane,1,1384.0,6683062.0,8,"Security, Garden",2024-12-17
Juhu,4,,9348172.0,29,Garden,13/07/2024
Worli,3,645.0,18360788.0,7,"Garden, Pool",2024-06-03
Powai,2,,13059398.0,39,Security,2024-04-02
Thane,1,957.0,21784834.0,4,"Gym, Pool, Parking",08-Jun-24
Worli,2,1160.0,8352407.0,11,Security,"March 09, 2025"
Worli,1,913.0,23160776.0,0,"Pool, Garden, Gym, Security",2024-03-01
Dadar,1,250.0,3999563.0,14,Gym,"May 01, 2024"
Dadar,2,1312.0,4096800.0,24,"Gym, Parking, Security, Garden",20-Feb-24
Bandra,2,1624.0,23380758.0,17,"Garden, Security",06/02/2025
Goregaon,2,1349.0,10901487.0,37,"Garden, Security",2024-10-03
Thane,5,250.0,18858787.0,25,Security,"January 05, 2024"
Powai,3,1057.0,11521006.0,39,"Security, Garden, Pool",2025-04-10
Andheri,4,736.0,10807765.0,2,Parking,01/04/2024
Powai,1,,4892370.0,21,Security,2024-06-18
Bandra,2,942.0,10680137.0,25,"Parking, Garden, Gym, Security",2024-11-12
Juhu,3,847.0,24568221.0,18,"Garden, Gym, Security, Parking","January 22, 2024"
Goregaon,1,1078.0,11228909.0,38,"Security, Parking, Pool, Garden",08/02/2025
Andheri,1,,16341965.0,35,"Pool, Parking",21-Nov-24
Borivali,3,507.0,16072566.0,20,Pool,01/01/2024
Juhu,3,698.0,5911293.0,25,"Pool, Garden, Parking",12/05/2024
Dadar,2,641.0,18151762.0,12,Security,20-Aug-24
Worli,2,299.0,8991253.0,35,"Gym, Parking, Security",2024-01-12
Borivali,2,419.0,9287766.0,23,"Gym, Parking, Garden","December 11, 2024"
Powai,1,826.0,38210355.0,25,Parking,2024-02-15
Powai,2,1398.0,15531519.0,20,Garden,2024-02-03
Dadar,2,,7399321.0,17,"Parking, Garden, Gym, Pool",08-Mar-25
Bandra,1,634.0,11282042.0,14,"Parking, Security, Gym",18-Mar-24
Thane,5,,11094632.0,14,Security,2024-08-05
Borivali,3,910.0,29848821.0,5,"Gym, Garden",27/10/2024
Borivali,3,1312.0,11113558.0,30,"Parking, Gym","February 14, 2025"
Navi Mumbai,2,1600.0,40824755.0,27,"Gym, Pool",13/03/2024
Juhu,2,999.0,4985082.0,7,"Security, Parking",2024-10-08
Goregaon,2,948.0,10644867.0,28,"Garden, Pool, Security, Parking",2024-09-05
Juhu,1,709.0,6867335.0,20,"Security, Pool","February 16, 2024"
Thane,2,768.0,8065472.0,16,Parking,30/04/2024
Powai,3,1120.0,8171206.0,23,"Garden, Parking",2024-08-01
Powai,3,789.0,7083056.0,35,"Gym, Parking, Garden, Pool",2024-08-26
Powai,2,843.0,30648770.0,30,"Garden, Gym, Pool",25-Feb-24
Navi Mumbai,2,891.0,25483359.0,33,Security,"December 15, 2024"
mumbai,4,693.0,13819438.0,1,"Pool, Parking, Gym, Security",16-Apr-24
Thane,1,873.0,8165176.0,2,"Parking, Pool, Security",14-Nov-24
Dadar,2,250.0,7203375.0,29,Pool,17-Feb-24
Goregaon,2,,16938255.0,7,"Parking, Garden, Pool, Gym",2024-03-01
Thane,3,1723.0,12995199.0,6,"Security, Gym, Parking",02/12/2024
Goregaon,5,706.0,9950212.0,11,"Garden, Security, Parking",26-Jan-24
Thane,2,1030.0,15017336.0,18,Gym,18/10/2024
Powai,4,1198.0,18525196.0,25,"Pool, Gym, Parking",2024-09-13
Dadar,3,1348.0,9895355.0,27,Garden,08-Jan-24
Borivali,2,807.0,6767244.0,14,Parking,2024-04-22
Juhu,2,268.0,4912682.0,13,"Gym, Parking",20-Dec-24
Worli,2,993.0,12614771.0,13,"Garden, Pool, Security",09-Sep-24
Dadar,5,,39838629.0,2,"Parking, Garden, Gym",2024-06-28
Borivali,2,,5573880.0,28,"Gym, Pool","July 25, 2024"
Bandra,3,853.0,20992619.0,5,"Parking, Pool, Security","October 29, 2024"
Thane,2,950.0,7236631.0,22,"Garden, Security",06/05/2024
Bandra,3,1026.0,8166746.0,27,"Pool, Gym",25/02/2024
Borivali,2,1011.0,18792231.0,13,Gym,2024-08-01
Dadar,3,,9312285.0,13,"Garden, Parking, Pool, Security",2024-01-14
Thane,3,1034.0,12596832.0,19,"Pool, Security, Gym",2025-04-18
Worli,3,800.0,12452810.0,12,Garden,"January 28, 2024"
Powai,4,1124.0,7243618.0,26,"Pool, Parking, Gym","April 15, 2025"
Thane,1,680.0,18570011.0,34,"Security, Garden, Pool",18-Mar-24
Thane,3,925.0,10459808.0,1,Gym,03-Aug-24
Dadar,1,331.0,4717992.0,39,"Parking, Gym, Pool, Garden",2025-01-20
Dadar,2,770.0,6353457.0,23,"Gym, Parking, Security, Garden",2024-12-30
Borivali,2,1098.0,1672798.0,28,"Parking, Security, Pool",02/06/2024
Andheri,2,538.0,11197434.0,2,"Pool, Parking","January 14, 2024"
Thane,2,787.0,23734491.0,3,"Pool, Security",2024-07-05
Juhu,5,250.0,5790389.0,1,"Security, Pool, Parking","November 07, 2024"
Thane,1,421.0,15422267.0,19,"Garden, Parking, Security, Gym",2025-01-05
Borivali,3,512.0,14052915.0,14,"Gym, Garden, Parking, Pool",07-Jan-24
Goregaon,2,935.0,6912718.0,31,"Garden, Gym",2024-01-03
Bandra,1,1016.0,27286987.0,0,"Pool, Garden",20-Apr-24
Powai,2,880.0,9215558.0,37,Security,10/02/2025
Andheri,4,766.0,36257653.0,34,"Security, Pool, Parking, Gym",25/08/2024
MUMBAI,4,767.0,4067718.0,6,"Security, Garden, Pool",28/12/2024
Worli,4,1150.0,9235069.0,12,Pool,2024-08-26
Worli,5,974.0,9917870.0,0,Security,07/05/2025
Dadar,2,,10592240.0,13,Garden,2024-09-30
mumbai,2,1352.0,16681295.0,28,"Security, Parking, Pool, Garden","October 20, 2024"
Powai,3,1582.0,83376445.0,2,"Gym, Parking, Pool",14-Aug-24
Bandra,2,463.0,14261008.0,23,"Security, Pool","January 05, 2025"
Worli,2,,11012529.0,0,Security,2024-01-15
Thane,2,1981.0,5622462.0,9,"Gym, Garden, Security, Parking",10/07/2024
Thane,3,,3491829.0,12,"Parking, Security",17-Apr-25
Dadar,3,940.0,21903489.0,35,"Parking, Garden",28/04/2024
Powai,2,880.0,7817923.0,8,"Parking, Garden","April 29, 2025"
Bandra,2,1071.0,51778989.0,13,"Pool, Security",2024-01-28
Andheri,3,1164.0,18272851.0,35,"Parking, Pool, Security, Gym",20-Jul-24
Borivali,3,464.0,13322111.0,9,"Parking, Garden",08-Feb-24
Bandra,2,890.0,13749009.0,39,Garden,2025-03-16
Borivali,3,250.0,13830489.0,22,"Security, Pool, Parking",2024-09-29
Goregaon,1,826.0,7154555.0,34,"Garden, Security, Pool, Parking",18-Aug-24
Borivali,2,584.0,3794633.0,6,Garden,"March 26, 2024"
Juhu,3,1018.0,7799646.0,34,"Security, Gym","April 18, 2025"
Thane,3,320.0,10734638.0,1,"Security, Pool",05/05/2024
Powai,2,720.0,7358080.0,14,"Gym, Parking",26-Oct-24
Navi Mumbai,3,1238.0,5017036.0,8,"Security, Garden",2024-01-25
Dadar,3,663.0,6927945.0,16,"Garden, Pool, Gym, Security",2024-05-24
Juhu,3,250.0,20204976.0,38,Garden,2024-01-13
Borivali,3,990.0,17003291.0,17,"Security, Parking, Garden",2024-07-30
Worli,3,694.0,12029179.0,14,"Garden, Parking",25-Jan-24
Powai,2,834.0,15436706.0,17,"Garden, Gym","March 08, 2024"
Juhu,1,,5503198.0,23,"Gym, Security, Pool, Garden",28/01/2025
Dadar,2,1591.0,6734439.0,22,Security,"March 07, 2024"
Thane,2,354.0,13080185.0,11,Pool,20/08/2024
Powai,3,1891.0,5940446.0,22,"Garden, Parking",2024-04-18
Dadar,2,763.0,11582883.0,20,"Gym, Security",2024-05-25
Goregaon,2,964.0,5088457.0,25,Pool,20-Apr-24
Goregaon,1,,4033852.0,7,Garden,2024-08-15
Dadar,2,,16880122.0,29,"Gym, Garden, Parking, Pool",20-Apr-24
Juhu,2,625.0,20099942.0,33,"Garden, Pool, Parking",14-Apr-25
Powai,3,1110.0,7433500.0,1,"Security, Garden, Parking, Gym",03-Feb-24
Juhu,1,406.0,4358866.0,4,"Gym, Parking, Security",2024-04-20
Andheri,3,1027.0,2884830.0,30,"Gym, Security, Garden",2024-09-20
Borivali,4,250.0,32775770.0,32,"Gym, Security, Parking, Pool","February 27, 2025"
mumbai,2,995.0,11603699.0,3,"Security, Pool",03/01/2025
Goregaon,2,1197.0,7536015.0,5,Parking,"August 23, 2024"
Thane,1,453.0,8724564.0,22,Security,2024-03-23
Bandra,3,1137.0,3443506.0,18,Garden,11/02/2024
Borivali,3,917.0,15743515.0,7,"Parking, Pool, Gym, Garden",28-Feb-25
Goregaon,2,1459.0,36037284.0,38,"Gym, Pool, Garden, Security",10/04/2024
Juhu,2,600.0,6785821.0,12,"Pool, Security, Garden, Parking",06-Jan-24
mumbai,4,1885.0,45356961.0,0,Pool,2024-06-28
Juhu,2,250.0,10121344.0,5,Garden,08/10/2024
Thane,1,784.0,29504456.0,6,Gym,15-Nov-24
Andheri,4,305.0,13050443.0,26,"Parking, Gym","August 13, 2024"
Bandra,3,1547.0,13041912.0,14,"Garden, Pool","March 18, 2025"
Juhu,4,808.0,32813660.0,33,"Parking, Gym, Pool",15-Mar-25
Navi Mumbai,3,839.0,17359012.0,22,"Parking, Security, Pool","November 10, 2024"
Borivali,3,1055.0,13590871.0,23,"Pool, Gym, Garden","December 30, 2024"
Powai,2,898.0,3386129.0,14,"Pool, Security",29/03/2025
Navi Mumbai,3,692.0,4393668.0,34,"Garden, Parking, Security","August 16, 2024"
Bandra,4,460.0,14290892.0,3,Garden,11/01/2025
Thane,3,958.0,26184285.0,36,"Pool, Parking, Garden, Gym",2024-10-15
Bandra,2,1032.0,11723086.0,16,Parking,"March 12, 2025"
Powai,2,1143.0,7611853.0,30,"Garden, Security, Parking",2024-05-29
Borivali,2,1569.0,3600192.0,37,"Parking, Pool, Garden, Gym","October 03, 2024"
Powai,2,250.0,6782450.0,9,"Garden, Gym, Parking, Pool",16-Jul-24
Dadar,2,876.0,11740896.0,26,Gym,10-Mar-24
Borivali,3,1317.0,6492291.0,5,Garden,2024-04-21
Bandra,3,856.0,6084969.0,5,"Pool, Garden, Security",2024-01-04
Juhu,2,250.0,10525692.0,14,"Pool, Security, Parking, Garden",2024-12-15
Bandra,3,448.0,25881707.0,3,"Gym, Parking, Garden, Security",26-Nov-24
Bandra,1,1014.0,16367883.0,39,"Pool, Security, Parking",2025-03-21
Borivali,1,1002.0,12884339.0,6,"Pool, Garden",13-Nov-24
Dadar,2,1135.0,12153063.0,25,"Pool, Garden, Security, Parking",2024-12-15
Bandra,2,626.0,15107563.0,30,Gym,04/04/2024
Navi Mumbai,2,,10159513.0,1,"Pool, Garden",31/05/2024
Goregaon,2,568.0,8481103.0,27,Pool,"November 06, 2024"
Worli,2,990.0,16901558.0,12,"Garden, Parking, Gym, Security",16/05/2024
Worli,3,918.0,9480644.0,17,Pool,2024-09-03
Bandra,1,612.0,5319243.0,29,"Parking, Garden, Security, Gym",21/01/2025
Navi Mumbai,3,1445.0,25802450.0,10,Gym,30/08/2024
Juhu,3,,3534363.0,12,"Garden, Gym",2024-01-31
Thane,3,850.0,26990451.0,23,Parking,09/02/2024
Thane,4,604.0,14707574.0,28,Security,2024-08-16
Borivali,1,,6067818.0,4,"Pool, Garden",05/02/2024
Worli,2,1109.0,11012623.0,34,"Gym, Garden, Security, Parking",2025-02-11
Bandra,4,672.0,8391098.0,18,Pool,10-Aug-24
Thane,2,802.0,17621590.0,12,"Gym, Parking, Security, Pool",06-Jan-24
Bandra,3,1551.0,17413542.0,4,"Garden, Security, Gym","November 17, 2024"
Borivali,3,,14314995.0,13,Gym,12/04/2025
Worli,3,282.0,16984808.0,37,"Parking, Pool","August 07, 2024"
Powai,4,1001.0,10130898.0,21,"Garden, Parking",2024-03-15
Goregaon,5,1009.0,31233602.0,8,"Garden, Pool, Gym, Security",04-Jan-24
Goregaon,3,1133.0,22615908.0,39,"Gym, Security",2024-11-30
Thane,2,,8152185.0,25,"Garden, Gym, Parking, Pool","May 13, 2024"
Goregaon,4,1519.0,17654778.0,4,Gym,2024-04-27
Powai,1,298.0,16754030.0,28,"Parking, Pool, Gym",2025-01-03
Bandra,2,479.0,9287157.0,21,"Pool, Parking, Gym",2024-04-03
Borivali,4,1131.0,8859900.0,2,"Security, Pool",2025-04-30
Powai,2,513.0,22492777.0,27,"Gym, Parking, Garden",10-Mar-25
Borivali,2,390.0,10758253.0,37,"Parking, Gym, Pool, Security",2024-03-02
Borivali,1,1553.0,12687187.0,13,"Pool, Garden, Gym, Security",2025-03-16
Worli,4,333.0,25157395.0,13,Gym,12-Jul-24
Bandra,2,777.0,49624906.0,10,Gym,2024-11-30
Navi Mumbai,3,879.0,7913059.0,8,Garden,2024-07-21
Goregaon,2,1358.0,9506248.0,37,Parking,"January 26, 2025"
Navi Mumbai,3,250.0,11346302.0,5,"Security, Garden, Parking, Pool",26-Jan-24
Worli,3,1045.0,11502119.0,0,"Pool, Security, Garden, Gym",10/03/2025
Borivali,2,588.0,13603163.0,24,Parking,2024-06-21
Thane,2,,8088007.0,15,"Pool, Garden, Parking, Gym","October 26, 2024"
Goregaon,2,582.0,5077276.0,14,"Pool, Parking, Security, Garden",12-May-24
Goregaon,5,1450.0,31086840.0,33,"Pool, Security, Garden, Parking",2024-11-21
Bandra,3,584.0,15669857.0,16,"Gym, Security, Garden",13/02/2025
Dadar,4,250.0,8443256.0,2,"Gym, Parking, Pool",2024-04-27
Andheri,2,623.0,14108215.0,2,Garden,"November 19, 2024"
Andheri,3,808.0,32598288.0,36,"Garden, Parking, Security",01-Oct-24
Andheri,3,1278.0,6764420.0,16,"Gym, Security, Garden","July 30, 2024"
Dadar,3,459.0,12319379.0,37,"Gym, Security",12-Aug-24
Bandra,5,466.0,4714159.0,0,"Security, Gym, Garden",20/01/2024
Dadar,2,1236.0,10109590.0,6,"Parking, Security, Pool, Gym",2024-04-22
Andheri,1,,15712344.0,25,"Pool, Parking","May 19, 2024"
Worli,3,837.0,5560319.0,38,"Parking, Pool",16/02/2024
Powai,3,844.0,9700415.0,18,"Pool, Garden",01/01/2024
Borivali,3,976.0,17539331.0,29,"Security, Pool",2024-03-30
Dadar,2,637.0,15456189.0,13,"Garden, Parking, Security","May 21, 2024"
Bandra,2,575.0,5418995.0,12,"Gym, Parking, Security",2024-11-15
Bandra,2,1017.0,13582122.0,19,Pool,2024-02-07
Navi Mumbai,2,586.0,15176084.0,25,Garden,19-Oct-24
Powai,3,424.0,11580015.0,26,"Security, Pool, Parking",16-Jan-25
Thane,3,,20865416.0,24,"Parking, Pool, Gym, Security",2024-05-18
Goregaon,2,1070.0,7620340.0,8,Security,21-Dec-24
Andheri,2,1518.0,13901269.0,11,"Parking, Pool, Security, Gym","November 28, 2024"
Thane,2,1174.0,5394443.0,9,"Gym, Parking, Security",05-May-25
Navi Mumbai,2,456.0,4154175.0,5,Parking,15/09/2024
Andheri,3,933.0,17342096.0,33,"Pool, Parking, Gym",2024-06-09
Powai,4,544.0,10988254.0,18,"Gym, Parking, Garden",2025-01-24
Navi Mumbai,2,321.0,8218921.0,5,"Parking, Garden, Gym, Security","June 26, 2024"
Andheri,3,,5728168.0,1,"Garden, Security, Gym",2024-01-10
Powai,4,1243.0,17827654.0,14,"Pool, Gym, Garden, Security",17-Sep-24
Juhu,3,996.0,4391544.0,16,"Pool, Garden, Gym",10/02/2025
Thane,2,413.0,19692068.0,15,Pool,2024-05-17
Thane,5,731.0,14226236.0,27,"Garden, Gym, Pool",20-Jun-24
Goregaon,2,849.0,4525892.0,20,Security,20/01/2025
Powai,2,308.0,11705587.0,7,"Security, Gym, Pool",2024-01-13
Dadar,1,1149.0,53342019.0,9,"Gym, Pool",2024-06-16
Juhu,2,819.0,22156711.0,9,"Pool, Security",2024-05-09
Worli,1,413.0,6603984.0,9,"Parking, Pool, Security",24/03/2024
Andheri,2,393.0,16685046.0,8,"Parking, Pool, Garden",2024-11-16
Juhu,2,1285.0,4641054.0,27,Gym,2024-11-14
Powai,3,766.0,4766923.0,23,"Pool, Security",10-Apr-24
Borivali,4,1316.0,10423950.0,18,Parking,24-Nov-24
Andheri,2,1450.0,15111874.0,32,Garden,29-Sep-24
Bandra,4,1257.0,17659743.0,3,Pool,21-Sep-24
Thane,4,713.0,17807143.0,2,Garden,2025-04-03
Powai,3,250.0,14604643.0,11,"Parking, Pool, Garden",02/02/2025
Bandra,1,1009.0,4120996.0,17,"Garden, Gym, Parking, Pool",2025-02-11
Goregaon,3,1632.0,10463892.0,22,"Garden, Pool, Gym, Security","February 07, 2024"
Navi Mumbai,4,,19408257.0,19,"Parking, Pool, Garden, Security",22/02/2025
Worli,3,250.0,14160608.0,5,"Pool, Garden, Gym, Security","April 03, 2024"
Worli,2,663.0,12106628.0,33,"Parking, Gym, Security",2024-04-04
Bandra,2,835.0,13223889.0,1,"Gym, Garden",31/10/2024
Thane,3,515.0,13092000.0,29,"Security, Gym, Garden",09/03/2024
Goregaon,2,250.0,3338598.0,8,"Pool, Garden, Gym, Parking",13-Nov-24
Borivali,1,865.0,21702428.0,26,"Gym, Garden, Security",2025-03-19
Thane,2,625.0,10157067.0,33,"Security, Parking","August 23, 2024"
Juhu,3,1520.0,16594002.0,39,Garden,09/03/2025
Worli,4,935.0,2721279.0,23,"Pool, Security, Garden, Parking",29/11/2024
Juhu,1,1064.0,29402643.0,16,"Security, Gym",07-Jan-25
Andheri,5,858.0,5422964.0,28,"Garden, Security",10/01/2025
Dadar,2,932.0,49863739.0,35,"Parking, Gym",03-Apr-25
Powai,3,321.0,38707511.0,11,"Pool, Gym, Garden",16/05/2024
Goregaon,3,535.0,4901493.0,30,"Gym, Security, Pool",21/02/2025
Thane,3,1281.0,17720310.0,8,"Parking, Security, Gym",2024-03-16
Worli,4,,5895341.0,18,Garden,27/04/2025
Juhu,2,760.0,7395309.0,16,"Pool, Garden, Parking",04-Feb-24
Navi Mumbai,4,1070.0,7496152.0,1,Garden,01-Jan-24
Andheri,1,1077.0,14200084.0,39,Security,22-Oct-24
Powai,3,1596.0,13187528.0,4,Security,"November 15, 2024"
Powai,3,957.0,5277935.0,38,"Pool, Gym, Garden",09/02/2025
Thane,3,528.0,14132262.0,15,"Security, Gym, Parking, Garden",2024-02-29
Goregaon,2,859.0,9602505.0,16,"Garden, Security",2024-11-15
Borivali,4,,3640634.0,26,"Parking, Gym","December 14, 2024"
Navi Mumbai,2,1248.0,8365115.0,6,"Garden, Gym",23/11/2024
Thane,1,334.0,29392677.0,7,"Security, Pool",23-Sep-24
Juhu,3,,8536240.0,7,"Parking, Pool, Gym, Garden","December 26, 2024"
Dadar,2,585.0,3608050.0,22,"Security, Pool","August 16, 2024"
Bandra,3,701.0,17693007.0,31,Security,26-Sep-24
Borivali,2,1196.0,6221328.0,17,Parking,"November 11, 2024"
Goregaon,2,1161.0,12343712.0,37,"Garden, Parking, Gym","October 12, 2024"
Andheri,3,662.0,9789374.0,11,Garden,17-Oct-24
Borivali,2,844.0,31233511.0,14,"Pool, Security, Garden, Parking",31/07/2024
Worli,2,712.0,9793505.0,27,"Gym, Security, Garden",2024-06-13
Goregaon,3,1912.0,5461568.0,37,Pool,2024-01-05
Dadar,2,,8192187.0,30,"Pool, Security, Garden",04-Dec-24
Worli,3,,5192544.0,8,"Security, Pool",13-Jan-25
Borivali,2,,9572847.0,7,"Security, Pool",18/03/2024
Bandra,3,,31386061.0,18,"Pool, Security","February 13, 2025"
Bandra,3,1527.0,22955792.0,7,"Security, Gym",02/03/2024
Dadar,3,1630.0,36936630.0,33,"Security, Parking, Gym","May 11, 2024"
Powai,1,1147.0,14469450.0,3,Pool,"March 29, 2024"
Navi Mumbai,3,777.0,11826580.0,30,"Parking, Pool, Security, Garden",24/08/2024
Andheri,3,829.0,5962642.0,37,Parking,11-Feb-24
Powai,3,797.0,12759679.0,2,Security,29-Mar-24
Bandra,2,758.0,10036944.0,34,"Garden, Parking, Pool, Security",05/02/2025
Bandra,4,1333.0,17316605.0,18,"Pool, Parking, Gym","October 22, 2024"
Juhu,3,900.0,5535248.0,28,"Gym, Garden, Parking","November 23, 2024"
Worli,1,1239.0,11202074.0,9,Security,"October 21, 2024"
Borivali,2,1136.0,4222347.0,11,"Parking, Garden, Security, Pool","April 13, 2024"
Andheri,4,515.0,13290600.0,29,"Security, Parking",14/01/2024
Dadar,1,298.0,16280052.0,29,"Pool, Garden",2024-10-14
Borivali,5,467.0,4102446.0,17,"Garden, Gym, Security",27-Jun-24
Juhu,3,750.0,4858055.0,23,Parking,04-May-24
Bandra,3,947.0,4987334.0,31,"Garden, Security, Pool, Parking",2025-02-25
Dadar,2,673.0,9756312.0,8,"Gym, Pool","December 18, 2024"
Bandra,2,1146.0,4692656.0,23,Gym,2024-01-23
Andheri,4,715.0,24818357.0,25,"Security, Pool, Garden, Gym",2024-03-03
Worli,2,989.0,14100091.0,2,"Gym, Garden, Parking",2024-05-22
Borivali,3,941.0,15547707.0,22,Pool,25-Apr-25
Borivali,2,1507.0,4183134.0,10,Gym,01-Jun-24
Powai,1,558.0,23579939.0,9,"Security, Parking",2024-05-24
Dadar,1,1672.0,16026684.0,35,Pool,2024-08-12
Navi Mumbai,2,691.0,750000000.0,12,Security,2025-05-09
Juhu,5,430.0,4303500.0,28,Parking,"March 25, 2025"
Navi Mumbai,2,824.0,10368922.0,37,"Parking, Pool, Garden","April 06, 2025"
Powai,2,2034.0,8204072.0,12,"Parking, Pool, Security","November 04, 2024"
Andheri,2,1213.0,8410941.0,25,"Gym, Garden",13-Apr-24
Juhu,2,1111.0,7108066.0,19,"Garden, Parking, Security",13/04/2024
Worli,2,1178.0,16732467.0,4,"Pool, Garden, Parking, Security",2025-03-10
Navi Mumbai,4,630.0,2279929.0,19,"Parking, Pool, Security",2024-02-08
Worli,2,1014.0,25596257.0,13,Gym,10/03/2025
Navi Mumbai,2,900.0,19754066.0,13,"Gym, Security, Pool, Parking",2024-07-16
Worli,1,1533.0,12316016.0,7,"Pool, Gym","May 13, 2024"
Navi Mumbai,5,861.0,9954633.0,12,"Security, Pool, Garden, Gym","March 07, 2024"
Worli,2,767.0,20786835.0,23,"Parking, Garden",25/01/2025
Powai,1,492.0,10581783.0,14,"Pool, Gym, Parking","June 27, 2024"
Goregaon,3,949.0,9183714.0,0,"Pool, Parking",31/03/2025
Juhu,3,1002.0,21492849.0,21,"Security, Parking","February 11, 2024"
Dadar,2,479.0,600000000.0,33,"Parking, Security, Gym",2025-03-23
Andheri,2,1058.0,6061064.0,39,"Garden, Gym, Security, Parking",14-May-25
Thane,3,981.0,14004364.0,2,"Gym, Pool","January 15, 2024"
Bandra,2,1254.0,5655646.0,25,"Pool, Garden, Parking, Security",20/04/2024
Dadar,3,1324.0,14665140.0,13,"Security, Gym, Pool",05-Jun-24
Bandra,3,932.0,6804475.0,7,"Garden, Gym, Security, Pool",2024-10-15
Juhu,2,537.0,22452869.0,15,"Parking, Pool",14-May-25
Dadar,2,609.0,10220728.0,20,"Parking, Pool, Garden, Gym",22/04/2025
Worli,2,1516.0,11160454.0,9,"Gym, Pool",2024-08-18
Worli,3,957.0,28880265.0,24,"Security, Garden",2025-02-14
Thane,2,,6991448.0,37,"Garden, Gym, Parking, Pool","February 23, 2025"
Bandra,2,1074.0,16369089.0,21,"Pool, Parking, Gym",05-Jun-24
Andheri,3,1163.0,7421769.0,3,"Pool, Security, Garden, Parking","February 07, 2024"
Juhu,5,1228.0,22248353.0,3,"Parking, Gym, Garden",2025-03-16
Worli,2,471.0,31707166.0,29,Pool,"April 06, 2024"
Goregaon,4,1007.0,9269645.0,1,Gym,"April 29, 2025"
Powai,2,467.0,2909657.0,28,"Security, Parking",14/02/2025
Powai,1,800.0,7182210.0,35,"Security, Pool","March 14, 2025"
Navi Mumbai,2,1124.0,46715277.0,20,"Pool, Garden, Gym, Security",2024-10-15
Andheri,2,541.0,7608157.0,20,"Pool, Gym, Security, Garden","September 10, 2024"
Powai,2,1095.0,31409240.0,20,"Garden, Pool",2024-07-14
Navi Mumbai,1,375.0,7543738.0,3,"Parking, Garden, Security",2024-03-26
Bandra,4,1300.0,7432705.0,0,"Security, Pool, Garden",17/11/2024
Worli,3,667.0,17322426.0,25,"Gym, Pool, Garden, Security",2024-01-10
Worli,3,540.0,16120537.0,1,"Gym, Garden, Parking, Security",2024-01-05
Goregaon,2,397.0,18097865.0,8,Parking,02/05/2024
Dadar,1,697.0,10885545.0,17,"Security, Pool, Parking, Garden",2024-11-25
Powai,1,250.0,20188346.0,10,"Security, Gym",18/12/2024
Bandra,3,708.0,19324805.0,24,"Garden, Security, Parking",27-Apr-24
Borivali,4,1284.0,21626216.0,25,"Pool, Garden",20-Oct-24
Powai,2,833.0,7465960.0,35,"Garden, Security, Parking, Gym",31-Jan-25
Andheri,1,,20179494.0,34,"Pool, Garden, Parking, Gym",2024-06-07
Dadar,2,979.0,7938210.0,37,"Parking, Pool, Gym, Security","October 29, 2024"
Powai,2,948.0,9877196.0,2,"Parking, Pool, Gym",15/08/2024
Bandra,2,1584.0,9756300.0,34,"Garden, Pool",30-Dec-24
Powai,3,1176.0,5963318.0,39,"Gym, Security, Pool, Parking",03/08/2024
Andheri,3,1006.0,3831203.0,21,Pool,11-Mar-25
Borivali,1,1216.0,22617498.0,7,Parking,02-Jul-24
Juhu,1,852.0,7121652.0,14,"Security, Garden, Parking",2024-01-15
Thane,5,873.0,9231722.0,6,Gym,05/06/2024
Borivali,2,1480.0,7001045.0,18,"Gym, Pool, Parking, Garden",2024-05-15
Navi Mumbai,1,327.0,9304487.0,39,"Garden, Pool, Gym, Security",17/09/2024
Powai,2,1238.0,8012058.0,16,"Pool, Garden, Gym",05/06/2024
